,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองเชียงราย,"('เมืองเชียงราย', 'เชียงราย')",เวียงชัย,"('เวียงชัย', 'เชียงราย')","['525 หมู่ที่ 6 Tambon Rim Kok, Amphoe Mueang Chiang Rai, Chang Wat Chiang Rai 57100, Thailand']","['VWMM+85R, Wiang Chai, Wiang Chai District, Chiang Rai 57210, Thailand']",14.0 km,19 mins
1,เมืองเชียงราย,"('เมืองเชียงราย', 'เชียงราย')",เทิง,"('เทิง', 'เชียงราย')","['525 หมู่ที่ 6 Tambon Rim Kok, Amphoe Mueang Chiang Rai, Chang Wat Chiang Rai 57100, Thailand']","['M5PV+5FG, Wiang, Thoeng District, Chiang Rai 57160, Thailand']",58.8 km,1 hour 10 mins
2,เมืองเชียงราย,"('เมืองเชียงราย', 'เชียงราย')",แม่อาย,"('แม่อาย', 'เชียงใหม่')","['525 หมู่ที่ 6 Tambon Rim Kok, Amphoe Mueang Chiang Rai, Chang Wat Chiang Rai 57100, Thailand']","['27JP+CRR, Mae Ai, Mae Ai District, Chiang Mai 50280, Thailand']",97.7 km,1 hour 43 mins
3,เมืองเชียงราย,"('เมืองเชียงราย', 'เชียงราย')",พาน,"('พาน', 'เชียงราย')","['525 หมู่ที่ 6 Tambon Rim Kok, Amphoe Mueang Chiang Rai, Chang Wat Chiang Rai 57100, Thailand']","['Soi Thetsaban 2 , Mueang Phan , 57120 Phan , Chiang Rai, ตำบล เมืองพาน อำเภอ พาน เชียงราย 57120, Thailand']",49.9 km,49 mins
4,เมืองเชียงราย,"('เมืองเชียงราย', 'เชียงราย')",ป่าแดด,"('ป่าแดด', 'เชียงราย')","['525 หมู่ที่ 6 Tambon Rim Kok, Amphoe Mueang Chiang Rai, Chang Wat Chiang Rai 57100, Thailand']","['GX3R+JVR, Pa Daet, Pa Daet District, Chiang Rai 57190, Thailand']",58.1 km,59 mins
5,เมืองเชียงราย,"('เมืองเชียงราย', 'เชียงราย')",แม่จัน,"('แม่จัน', 'เชียงราย')","['525 หมู่ที่ 6 Tambon Rim Kok, Amphoe Mueang Chiang Rai, Chang Wat Chiang Rai 57100, Thailand']","['4VW3+87J, 175 Ratchaburi, Tambon Mae Chan, Amphoe Mae Chan, Chang Wat Chiang Rai 57110, Thailand']",29.7 km,33 mins
6,เมืองเชียงราย,"('เมืองเชียงราย', 'เชียงราย')",แม่สรวย,"('แม่สรวย', 'เชียงราย')","['525 หมู่ที่ 6 Tambon Rim Kok, Amphoe Mueang Chiang Rai, Chang Wat Chiang Rai 57100, Thailand']","['อาคารที่ว่าการอำเภอแม่สรวย, ถนนเชียงราย-เชียงใหม่, ตำบลแม่สรวย อำเภอแม่สรวย จังหวัดเชียงราย, 57180 Tambon Mae Suai, Amphoe Mae Suai, Chang Wat Chiang Rai 57180, Thailand']",53.8 km,56 mins
7,เมืองเชียงราย,"('เมืองเชียงราย', 'เชียงราย')",พญาเม็งราย,"('พญาเม็งราย', 'เชียงราย')","['525 หมู่ที่ 6 Tambon Rim Kok, Amphoe Mueang Chiang Rai, Chang Wat Chiang Rai 57100, Thailand']","['R5X3+MC3, Mengrai, Phaya Mengrai District, Chiang Rai 57290, Thailand']",45.0 km,44 mins
8,เมืองเชียงราย,"('เมืองเชียงราย', 'เชียงราย')",แม่ฟ้าหลวง,"('แม่ฟ้าหลวง', 'เชียงราย')","['525 หมู่ที่ 6 Tambon Rim Kok, Amphoe Mueang Chiang Rai, Chang Wat Chiang Rai 57100, Thailand']","['7R82+QC5, Mae Fa Luang, Mae Fa Luang District, Chiang Rai 57240, Thailand']",50.8 km,57 mins
9,เมืองเชียงราย,"('เมืองเชียงราย', 'เชียงราย')",ดอยหลวง,"('ดอยหลวง', 'เชียงราย')","['525 หมู่ที่ 6 Tambon Rim Kok, Amphoe Mueang Chiang Rai, Chang Wat Chiang Rai 57100, Thailand']","['439X+9M4, Pong Noi, Doi Luang District, Chiang Rai 57110, Thailand']",45.7 km,42 mins
