,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,ป่าโมก,"('ป่าโมก', 'อ่างทอง')",บางปะหัน,"('บางปะหัน', 'พระนครศรีอยุธยา')","['FFQ2+F9F, Bang Pla Kot, Pa Mok District, Ang Thong 14130, Thailand']","['FG7V+3W7, Bang Nang Ra, Bang Pahan District, Phra Nakhon Si Ayutthaya 13220, Thailand']",13.8 km,15 mins
1,ป่าโมก,"('ป่าโมก', 'อ่างทอง')",ผักไห่,"('ผักไห่', 'พระนครศรีอยุธยา')","['FFQ2+F9F, Bang Pla Kot, Pa Mok District, Ang Thong 14130, Thailand']","['หมู่ 4, อาคารที่ว่าการอำเภอผักไห่, ตำบลผักไห่ อำเภอผักไห่ จังหวัดพระนครศรีอยุธยา, 13120 Tambon Phak Hai, Amphoe Phak Hai, Chang Wat Phra Nakhon Si Ayutthaya 13120, Thailand']",16.2 km,17 mins
2,ป่าโมก,"('ป่าโมก', 'อ่างทอง')",วิเศษชัยชาญ,"('วิเศษชัยชาญ', 'อ่างทอง')","['FFQ2+F9F, Bang Pla Kot, Pa Mok District, Ang Thong 14130, Thailand']","['H8VQ+V8X, San Chao Rong Thong, Wiset Chai Chan District, Ang Thong 14110, Thailand']",23.8 km,24 mins
3,ป่าโมก,"('ป่าโมก', 'อ่างทอง')",บางบาล,"('บางบาล', 'พระนครศรีอยุธยา')","['FFQ2+F9F, Bang Pla Kot, Pa Mok District, Ang Thong 14130, Thailand']","['9FFP+H8Q, Saphan Thai, Bang Ban District, Phra Nakhon Si Ayutthaya 13250, Thailand']",24.6 km,26 mins
4,ป่าโมก,"('ป่าโมก', 'อ่างทอง')",มหาราช,"('มหาราช', 'พระนครศรีอยุธยา')","['FFQ2+F9F, Bang Pla Kot, Pa Mok District, Ang Thong 14130, Thailand']","['GGMG+PVX, Hua Phai, Maha Rat District, Phra Nakhon Si Ayutthaya 13150, Thailand']",19.6 km,21 mins
5,ป่าโมก,"('ป่าโมก', 'อ่างทอง')",เมืองอ่างทอง,"('เมืองอ่างทอง', 'อ่างทอง')","['FFQ2+F9F, Bang Pla Kot, Pa Mok District, Ang Thong 14130, Thailand']","['HFQ3+M9X, Bang Kaeo, Mueang Ang Thong District, Ang Thong 14000, Thailand']",12.6 km,14 mins
6,โพธิ์ทอง,"('โพธิ์ทอง', 'อ่างทอง')",แสวงหา,"('แสวงหา', 'อ่างทอง')","['นายอำเภอ MC85+G9X, Tambon Ang Khao, Amphoe Pho Thong, Chang Wat Ang Thong 14120, Thailand']","['หมู่ 5 ถนน แสวงหา-ปากดง Tambon Sawaeng Ha, Amphoe Sawaeng Ha, Chang Wat Ang Thong 14150, Thailand']",14.7 km,17 mins
7,โพธิ์ทอง,"('โพธิ์ทอง', 'อ่างทอง')",วิเศษชัยชาญ,"('วิเศษชัยชาญ', 'อ่างทอง')","['นายอำเภอ MC85+G9X, Tambon Ang Khao, Amphoe Pho Thong, Chang Wat Ang Thong 14120, Thailand']","['H8VQ+V8X, San Chao Rong Thong, Wiset Chai Chan District, Ang Thong 14110, Thailand']",13.8 km,15 mins
8,โพธิ์ทอง,"('โพธิ์ทอง', 'อ่างทอง')",สามโก้,"('สามโก้', 'อ่างทอง')","['นายอำเภอ MC85+G9X, Tambon Ang Khao, Amphoe Pho Thong, Chang Wat Ang Thong 14120, Thailand']","['J64V+7XC, Samko, Samko District, Ang Thong 14160, Thailand']",25.2 km,27 mins
9,โพธิ์ทอง,"('โพธิ์ทอง', 'อ่างทอง')",ท่าวุ้ง,"('ท่าวุ้ง', 'ลพบุรี')","['นายอำเภอ MC85+G9X, Tambon Ang Khao, Amphoe Pho Thong, Chang Wat Ang Thong 14120, Thailand']","['หมู่ที่ 1 ถนน ลพบุรี - สิงห์บุรี Tambon Tha Wung, Amphoe Tha Wung, Chang Wat Lopburi 15150, Thailand']",27.2 km,35 mins
10,โพธิ์ทอง,"('โพธิ์ทอง', 'อ่างทอง')",พรหมบุรี,"('พรหมบุรี', 'สิงห์บุรี')","['นายอำเภอ MC85+G9X, Tambon Ang Khao, Amphoe Pho Thong, Chang Wat Ang Thong 14120, Thailand']","['3 Bangnamchaew, Phrom Buri, Amphoe Phrom Buri, Chang Wat Sing Buri 16120, Thailand']",18.6 km,22 mins
