,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองเพชรบุรี,"('เมืองเพชรบุรี', 'เพชรบุรี')",เขาย้อย,"('เขาย้อย', 'เพชรบุรี')","['4W6V+PJ5, Khlong Kra Saeng, Mueang Phetchaburi District, Phetchaburi 76000, Thailand']","['6RRF+4H9, Sraphang, Khao Yoi District, Phetchaburi 76140, Thailand']",23.8 km,19 mins
1,เมืองเพชรบุรี,"('เมืองเพชรบุรี', 'เพชรบุรี')",ท่ายาง,"('ท่ายาง', 'เพชรบุรี')","['4W6V+PJ5, Khlong Kra Saeng, Mueang Phetchaburi District, Phetchaburi 76000, Thailand']","['XVFQ+94P, Tha Yang, Tha Yang District, Phetchaburi 76130, Thailand']",18.8 km,22 mins
2,เมืองเพชรบุรี,"('เมืองเพชรบุรี', 'เพชรบุรี')",บ้านลาด,"('บ้านลาด', 'เพชรบุรี')","['4W6V+PJ5, Khlong Kra Saeng, Mueang Phetchaburi District, Phetchaburi 76000, Thailand']","['43 ถนน เพชรบุรี Tambon Ban Lat, Amphoe Ban Lat, Chang Wat Phetchaburi 76150, Thailand']",8.5 km,14 mins
3,เมืองเพชรบุรี,"('เมืองเพชรบุรี', 'เพชรบุรี')",บ้านแหลม,"('บ้านแหลม', 'เพชรบุรี')","['4W6V+PJ5, Khlong Kra Saeng, Mueang Phetchaburi District, Phetchaburi 76000, Thailand']","['6X2J+635, Ban Laem, Ban Laem District, Phetchaburi 76110, Thailand']",12.5 km,17 mins
4,เขาย้อย,"('เขาย้อย', 'เพชรบุรี')",อัมพวา,"('อัมพวา', 'สมุทรสงคราม')","['6RRF+4H9, Sraphang, Khao Yoi District, Phetchaburi 76140, Thailand']","['CXF4+QWW, Amphawa, Amphawa District, Samut Songkhram 75110, Thailand']",37.5 km,37 mins
5,เขาย้อย,"('เขาย้อย', 'เพชรบุรี')",ปากท่อ,"('ปากท่อ', 'ราชบุรี')","['6RRF+4H9, Sraphang, Khao Yoi District, Phetchaburi 76140, Thailand']","['หมู่ 5, อาคารที่ว่าการอำเภอปากท่อ, ตำบลปากท่อ อำเภอปากท่อ จังหวัดราชบุรี, 70140 Tambon Don Sai, Amphoe Pak Tho, Chang Wat Ratchaburi 70140, Thailand']",19.2 km,15 mins
6,เขาย้อย,"('เขาย้อย', 'เพชรบุรี')",เมืองเพชรบุรี,"('เมืองเพชรบุรี', 'เพชรบุรี')","['6RRF+4H9, Sraphang, Khao Yoi District, Phetchaburi 76140, Thailand']","['4W6V+PJ5, Khlong Kra Saeng, Mueang Phetchaburi District, Phetchaburi 76000, Thailand']",22.3 km,19 mins
7,เขาย้อย,"('เขาย้อย', 'เพชรบุรี')",หนองหญ้าปล้อง,"('หนองหญ้าปล้อง', 'เพชรบุรี')","['6RRF+4H9, Sraphang, Khao Yoi District, Phetchaburi 76140, Thailand']","['5M7W+GW2, Yang Nam Klat Nuea, Nong Ya Plong District, Phetchaburi 76160, Thailand']",24.9 km,27 mins
8,เขาย้อย,"('เขาย้อย', 'เพชรบุรี')",บ้านลาด,"('บ้านลาด', 'เพชรบุรี')","['6RRF+4H9, Sraphang, Khao Yoi District, Phetchaburi 76140, Thailand']","['43 ถนน เพชรบุรี Tambon Ban Lat, Amphoe Ban Lat, Chang Wat Phetchaburi 76150, Thailand']",31.7 km,26 mins
9,เขาย้อย,"('เขาย้อย', 'เพชรบุรี')",บ้านแหลม,"('บ้านแหลม', 'เพชรบุรี')","['6RRF+4H9, Sraphang, Khao Yoi District, Phetchaburi 76140, Thailand']","['6X2J+635, Ban Laem, Ban Laem District, Phetchaburi 76110, Thailand']",32.5 km,30 mins
