,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เกาะยาว,"('เกาะยาว', 'พังงา')",อ่าวลึก,"('อ่าวลึก', 'กระบี่')","['8.11105744,98.59072198']","['8.37794399,98.72216048']",132 km,-9999.99
1,เกาะยาว,"('เกาะยาว', 'พังงา')",ตะกั่วทุ่ง,"('ตะกั่วทุ่ง', 'พังงา')","['8.11105744,98.59072198']","['8.39206577,98.45181648']",86.5 km,-9999.99
2,เมืองพังงา,"('เมืองพังงา', 'พังงา')",อ่าวลึก,"('อ่าวลึก', 'กระบี่')","['622 Phet Kasem Rd, Thai Chang, Amphoe Mueang Phang-nga, Chang Wat Phang-nga 82000, Thailand']","['4/17, Moo 2, Tambon Aowluktai, Amphoe Aoeluk, Krabi, 81110, ตำบล อ่าวลึกใต้ อำเภอ อ่าวลึก กระบี่ 81110, Thailand']",36.2 km,34 mins
3,เมืองพังงา,"('เมืองพังงา', 'พังงา')",กะปง,"('กะปง', 'พังงา')","['622 Phet Kasem Rd, Thai Chang, Amphoe Mueang Phang-nga, Chang Wat Phang-nga 82000, Thailand']","['MCW5+VJH, Tha Na, Kapong District, Phang-nga 82170, Thailand']",42.9 km,48 mins
4,เมืองพังงา,"('เมืองพังงา', 'พังงา')",ตะกั่วทุ่ง,"('ตะกั่วทุ่ง', 'พังงา')","['622 Phet Kasem Rd, Thai Chang, Amphoe Mueang Phang-nga, Chang Wat Phang-nga 82000, Thailand']","['9FR2+QPQ, Phet Kasem Rd, Tambon Krasom, Amphoe Takua Thung, Chang Wat Phang-nga 82130, Thailand']",11.1 km,12 mins
5,เมืองพังงา,"('เมืองพังงา', 'พังงา')",ทับปุด,"('ทับปุด', 'พังงา')","['622 Phet Kasem Rd, Thai Chang, Amphoe Mueang Phang-nga, Chang Wat Phang-nga 82000, Thailand']","['ที่ว่าการ GJ8Q+CWV, Tambon Thap Put, Amphoe Thap Put, Chang Wat Phang-nga 82180, Thailand']",23.1 km,23 mins
6,เมืองพังงา,"('เมืองพังงา', 'พังงา')",ท้ายเหมือง,"('ท้ายเหมือง', 'พังงา')","['622 Phet Kasem Rd, Thai Chang, Amphoe Mueang Phang-nga, Chang Wat Phang-nga 82000, Thailand']","['97X6+M8Q, Thai Mueang, Thai Mueang District, Phang-nga 82120, Thailand']",39.3 km,47 mins
7,เมืองพังงา,"('เมืองพังงา', 'พังงา')",พนม,"('พนม', 'สุราษฎร์ธานี')","['622 Phet Kasem Rd, Thai Chang, Amphoe Mueang Phang-nga, Chang Wat Phang-nga 82000, Thailand']","['VR37+R6H, Phanom, Phanom District, Surat Thani 84250, Thailand']",71.7 km,1 hour 8 mins
8,กะปง,"('กะปง', 'พังงา')",เมืองพังงา,"('เมืองพังงา', 'พังงา')","['MCW5+VJH, Tha Na, Kapong District, Phang-nga 82170, Thailand']","['622 Phet Kasem Rd, Thai Chang, Amphoe Mueang Phang-nga, Chang Wat Phang-nga 82000, Thailand']",42.9 km,48 mins
9,กะปง,"('กะปง', 'พังงา')",ตะกั่วป่า,"('ตะกั่วป่า', 'พังงา')","['MCW5+VJH, Tha Na, Kapong District, Phang-nga 82170, Thailand']","['V89V+R8M, Takua Pa, Takua Pa District, Phang-nga 82110, Thailand']",26.2 km,27 mins
10,กะปง,"('กะปง', 'พังงา')",คุระบุรี,"('คุระบุรี', 'พังงา')","['MCW5+VJH, Tha Na, Kapong District, Phang-nga 82170, Thailand']","['บ้านพักนายอำเภอ Phet Kasem Rd, Tambon Khura, Amphoe Khura Buri, Chang Wat Phang-nga 82150, Thailand']",72.6 km,1 hour 9 mins
11,กะปง,"('กะปง', 'พังงา')",ท้ายเหมือง,"('ท้ายเหมือง', 'พังงา')","['MCW5+VJH, Tha Na, Kapong District, Phang-nga 82170, Thailand']","['97X6+M8Q, Thai Mueang, Thai Mueang District, Phang-nga 82120, Thailand']",50.2 km,48 mins
12,กะปง,"('กะปง', 'พังงา')",พนม,"('พนม', 'สุราษฎร์ธานี')","['MCW5+VJH, Tha Na, Kapong District, Phang-nga 82170, Thailand']","['VR37+R6H, Phanom, Phanom District, Surat Thani 84250, Thailand']",78.0 km,1 hour 11 mins
13,ตะกั่วทุ่ง,"('ตะกั่วทุ่ง', 'พังงา')",เกาะยาว,"('เกาะยาว', 'พังงา')","['8.39206577,98.45181648']","['8.11105744,98.59072198']",86.5 km,-9999.99
14,ตะกั่วทุ่ง,"('ตะกั่วทุ่ง', 'พังงา')",เมืองพังงา,"('เมืองพังงา', 'พังงา')","['9FR2+QPQ, Phet Kasem Rd, Tambon Krasom, Amphoe Takua Thung, Chang Wat Phang-nga 82130, Thailand']","['622 Phet Kasem Rd, Thai Chang, Amphoe Mueang Phang-nga, Chang Wat Phang-nga 82000, Thailand']",11.3 km,11 mins
15,ตะกั่วทุ่ง,"('ตะกั่วทุ่ง', 'พังงา')",ท้ายเหมือง,"('ท้ายเหมือง', 'พังงา')","['9FR2+QPQ, Phet Kasem Rd, Tambon Krasom, Amphoe Takua Thung, Chang Wat Phang-nga 82130, Thailand']","['97X6+M8Q, Thai Mueang, Thai Mueang District, Phang-nga 82120, Thailand']",29.0 km,37 mins
16,ตะกั่วทุ่ง,"('ตะกั่วทุ่ง', 'พังงา')",ถลาง,"('ถลาง', 'ภูเก็ต')","['9FR2+QPQ, Phet Kasem Rd, Tambon Krasom, Amphoe Takua Thung, Chang Wat Phang-nga 82130, Thailand']","['357 Thep Krasattri Rd, Tambon Thep Krasatti, Amphoe Thalang, Chang Wat Phuket 83110, Thailand']",54.9 km,51 mins
17,ตะกั่วป่า,"('ตะกั่วป่า', 'พังงา')",กะปง,"('กะปง', 'พังงา')","['V89V+R8M, Takua Pa, Takua Pa District, Phang-nga 82110, Thailand']","['MCW5+VJH, Tha Na, Kapong District, Phang-nga 82170, Thailand']",26.2 km,27 mins
18,ตะกั่วป่า,"('ตะกั่วป่า', 'พังงา')",คุระบุรี,"('คุระบุรี', 'พังงา')","['V89V+R8M, Takua Pa, Takua Pa District, Phang-nga 82110, Thailand']","['บ้านพักนายอำเภอ Phet Kasem Rd, Tambon Khura, Amphoe Khura Buri, Chang Wat Phang-nga 82150, Thailand']",54.7 km,53 mins
19,ตะกั่วป่า,"('ตะกั่วป่า', 'พังงา')",ท้ายเหมือง,"('ท้ายเหมือง', 'พังงา')","['V89V+R8M, Takua Pa, Takua Pa District, Phang-nga 82110, Thailand']","['97X6+M8Q, Thai Mueang, Thai Mueang District, Phang-nga 82120, Thailand']",64.2 km,1 hour 2 mins
20,ตะกั่วป่า,"('ตะกั่วป่า', 'พังงา')",พนม,"('พนม', 'สุราษฎร์ธานี')","['V89V+R8M, Takua Pa, Takua Pa District, Phang-nga 82110, Thailand']","['VR37+R6H, Phanom, Phanom District, Surat Thani 84250, Thailand']",81.2 km,1 hour 14 mins
21,คุระบุรี,"('คุระบุรี', 'พังงา')",กะปง,"('กะปง', 'พังงา')","['บ้านพักนายอำเภอ Phet Kasem Rd, Tambon Khura, Amphoe Khura Buri, Chang Wat Phang-nga 82150, Thailand']","['MCW5+VJH, Tha Na, Kapong District, Phang-nga 82170, Thailand']",72.0 km,1 hour 6 mins
22,คุระบุรี,"('คุระบุรี', 'พังงา')",ตะกั่วป่า,"('ตะกั่วป่า', 'พังงา')","['บ้านพักนายอำเภอ Phet Kasem Rd, Tambon Khura, Amphoe Khura Buri, Chang Wat Phang-nga 82150, Thailand']","['V89V+R8M, Takua Pa, Takua Pa District, Phang-nga 82110, Thailand']",54.2 km,52 mins
23,คุระบุรี,"('คุระบุรี', 'พังงา')",บ้านตาขุน,"('บ้านตาขุน', 'สุราษฎร์ธานี')","['บ้านพักนายอำเภอ Phet Kasem Rd, Tambon Khura, Amphoe Khura Buri, Chang Wat Phang-nga 82150, Thailand']","['หมู่ 4, อาคารที่ว่าการอำเภอบ้านตาขุน, ตำบลเขาวง อำเภอบ้านตาขุน จังหวัดสุราษฎร์ธานี, 84230 Tambon Khao Wong, Amphoe Ban Ta Khun, Chang Wat Surat Thani 84230, Thailand']",136 km,2 hours 1 min
24,คุระบุรี,"('คุระบุรี', 'พังงา')",พนม,"('พนม', 'สุราษฎร์ธานี')","['บ้านพักนายอำเภอ Phet Kasem Rd, Tambon Khura, Amphoe Khura Buri, Chang Wat Phang-nga 82150, Thailand']","['VR37+R6H, Phanom, Phanom District, Surat Thani 84250, Thailand']",127 km,1 hour 53 mins
25,คุระบุรี,"('คุระบุรี', 'พังงา')",สุขสำราญ,"('สุขสำราญ', 'ระนอง')","['บ้านพักนายอำเภอ Phet Kasem Rd, Tambon Khura, Amphoe Khura Buri, Chang Wat Phang-nga 82150, Thailand']","['หมู่ 5, อาคารที่ว่าการอำเภอสุขสำราญ, ตำบลกำพวน อำเภอสุขสำราญ จังหวัดระนอง, 85120 Tambon Kamphuan, Amphoe Suk Samran, Chang Wat Ranong 85120, Thailand']",23.1 km,23 mins
26,ทับปุด,"('ทับปุด', 'พังงา')",อ่าวลึก,"('อ่าวลึก', 'กระบี่')","['ที่ว่าการ GJ8Q+CWV, Tambon Thap Put, Amphoe Thap Put, Chang Wat Phang-nga 82180, Thailand']","['4/17, Moo 2, Tambon Aowluktai, Amphoe Aoeluk, Krabi, 81110, ตำบล อ่าวลึกใต้ อำเภอ อ่าวลึก กระบี่ 81110, Thailand']",22.4 km,21 mins
27,ทับปุด,"('ทับปุด', 'พังงา')",ปลายพระยา,"('ปลายพระยา', 'กระบี่')","['ที่ว่าการ GJ8Q+CWV, Tambon Thap Put, Amphoe Thap Put, Chang Wat Phang-nga 82180, Thailand']","['GVM7+6JP, Plai Phraya, Plai Phraya District, Krabi 81160, Thailand']",32.0 km,28 mins
28,ทับปุด,"('ทับปุด', 'พังงา')",เมืองพังงา,"('เมืองพังงา', 'พังงา')","['ที่ว่าการ GJ8Q+CWV, Tambon Thap Put, Amphoe Thap Put, Chang Wat Phang-nga 82180, Thailand']","['622 Phet Kasem Rd, Thai Chang, Amphoe Mueang Phang-nga, Chang Wat Phang-nga 82000, Thailand']",23.3 km,23 mins
29,ทับปุด,"('ทับปุด', 'พังงา')",พนม,"('พนม', 'สุราษฎร์ธานี')","['ที่ว่าการ GJ8Q+CWV, Tambon Thap Put, Amphoe Thap Put, Chang Wat Phang-nga 82180, Thailand']","['VR37+R6H, Phanom, Phanom District, Surat Thani 84250, Thailand']",48.7 km,47 mins
30,ท้ายเหมือง,"('ท้ายเหมือง', 'พังงา')",เมืองพังงา,"('เมืองพังงา', 'พังงา')","['97X6+M8Q, Thai Mueang, Thai Mueang District, Phang-nga 82120, Thailand']","['622 Phet Kasem Rd, Thai Chang, Amphoe Mueang Phang-nga, Chang Wat Phang-nga 82000, Thailand']",38.9 km,45 mins
31,ท้ายเหมือง,"('ท้ายเหมือง', 'พังงา')",กะปง,"('กะปง', 'พังงา')","['97X6+M8Q, Thai Mueang, Thai Mueang District, Phang-nga 82120, Thailand']","['MCW5+VJH, Tha Na, Kapong District, Phang-nga 82170, Thailand']",50.2 km,49 mins
32,ท้ายเหมือง,"('ท้ายเหมือง', 'พังงา')",ตะกั่วทุ่ง,"('ตะกั่วทุ่ง', 'พังงา')","['97X6+M8Q, Thai Mueang, Thai Mueang District, Phang-nga 82120, Thailand']","['9FR2+QPQ, Phet Kasem Rd, Tambon Krasom, Amphoe Takua Thung, Chang Wat Phang-nga 82130, Thailand']",28.5 km,36 mins
33,ท้ายเหมือง,"('ท้ายเหมือง', 'พังงา')",ตะกั่วป่า,"('ตะกั่วป่า', 'พังงา')","['97X6+M8Q, Thai Mueang, Thai Mueang District, Phang-nga 82120, Thailand']","['V89V+R8M, Takua Pa, Takua Pa District, Phang-nga 82110, Thailand']",64.1 km,1 hour 2 mins
