,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,หนองเสือ,"('หนองเสือ', 'ปทุมธานี')",บ้านนา,"('บ้านนา', 'นครนายก')","['180 หมู่ที่ 6 ถนน เลียบคลองสิบตะวันออก Tambon Bung Ba, Amphoe Nong Suea, Chang Wat Pathum Thani 12170, Thailand']","['หมู่ที่ 2, อาคารที่ว่าการอำเภอบ้านนา, ถนนสุวรรณศร, ตำบลบ้านนา อำเภอบ้านนา จังหวัดนครนายก, 26110 Amphoe Ban Na, Chang Wat Nakhon Nayok 26110, Thailand']",37.9 km,45 mins
1,หนองเสือ,"('หนองเสือ', 'ปทุมธานี')",องครักษ์,"('องครักษ์', 'นครนายก')","['180 หมู่ที่ 6 ถนน เลียบคลองสิบตะวันออก Tambon Bung Ba, Amphoe Nong Suea, Chang Wat Pathum Thani 12170, Thailand']","['Sukhaphiban 11 Rd, Tambon Ongkharak, Amphoe Ongkharak, Chang Wat Nakhon Nayok 26120, Thailand']",30.4 km,30 mins
2,หนองเสือ,"('หนองเสือ', 'ปทุมธานี')",วังน้อย,"('วังน้อย', 'พระนครศรีอยุธยา')","['180 หมู่ที่ 6 ถนน เลียบคลองสิบตะวันออก Tambon Bung Ba, Amphoe Nong Suea, Chang Wat Pathum Thani 12170, Thailand']","['หมู่ 5, อาคารที่ว่าการอำเภอวังน้อย, ตำบลลำไทร อำเภอวังน้อย จังหวัดพระนครศรีอยุธยา, 13170 Tambon Lam Sai, Amphoe Wang Noi, Chang Wat Phra Nakhon Si Ayutthaya 13170, Thailand']",23.2 km,27 mins
3,หนองเสือ,"('หนองเสือ', 'ปทุมธานี')",หนองแค,"('หนองแค', 'สระบุรี')","['180 หมู่ที่ 6 ถนน เลียบคลองสิบตะวันออก Tambon Bung Ba, Amphoe Nong Suea, Chang Wat Pathum Thani 12170, Thailand']","['67 ถนน Raphiphat, Tambon Nong Khae, Amphoe Nong Khae, Chang Wat Saraburi 18140, Thailand']",25.9 km,26 mins
4,หนองเสือ,"('หนองเสือ', 'ปทุมธานี')",คลองหลวง,"('คลองหลวง', 'ปทุมธานี')","['180 หมู่ที่ 6 ถนน เลียบคลองสิบตะวันออก Tambon Bung Ba, Amphoe Nong Suea, Chang Wat Pathum Thani 12170, Thailand']","['3J7W+W6R, Phahonyothin Rd, Khlong Nueng, Amphoe Khlong Luang, Chang Wat Pathum Thani 12120, Thailand']",26.8 km,34 mins
5,หนองเสือ,"('หนองเสือ', 'ปทุมธานี')",ธัญบุรี,"('ธัญบุรี', 'ปทุมธานี')","['180 หมู่ที่ 6 ถนน เลียบคลองสิบตะวันออก Tambon Bung Ba, Amphoe Nong Suea, Chang Wat Pathum Thani 12170, Thailand']","['130 Moo 2 Rangsit - Nakhon Nayok Rd, Tambon Rangsit, Amphoe Thanyaburi, Chang Wat Pathum Thani 12110, Thailand']",23.1 km,30 mins
6,หนองเสือ,"('หนองเสือ', 'ปทุมธานี')",ลำลูกกา,"('ลำลูกกา', 'ปทุมธานี')","['180 หมู่ที่ 6 ถนน เลียบคลองสิบตะวันออก Tambon Bung Ba, Amphoe Nong Suea, Chang Wat Pathum Thani 12170, Thailand']","['อาคารที่ว่าการอำเภอลำลูกกา, ถนนนิมิตใหม่, ตำบลลำลูกกา อำเภอลำลูกกา จังหวัดปทุมธานี, 12150 Tambon Lam Luk Ka, Amphoe Lam Luk Ka, Chang Wat Pathum Thani 12150, Thailand']",34.0 km,39 mins
7,หนองเสือ,"('หนองเสือ', 'ปทุมธานี')",วิหารแดง,"('วิหารแดง', 'สระบุรี')","['180 หมู่ที่ 6 ถนน เลียบคลองสิบตะวันออก Tambon Bung Ba, Amphoe Nong Suea, Chang Wat Pathum Thani 12170, Thailand']","['64 หมู่ 1, ถนนสุวรรณศร, ตำบลหนองสรวง อำเภอวิหารแดง จังหวัดสระบุรี, 18150 Tambon Nong Sruang, Amphoe Wihan Daeng, Chang Wat Saraburi 18150, Thailand']",34.8 km,36 mins
8,เมืองปทุมธานี,"('เมืองปทุมธานี', 'ปทุมธานี')",ดอนเมือง,"('ดอนเมือง', 'กรุงเทพมหานคร')","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['999 Soi Choet Wutthakat 9/1, Khwaeng Don Mueang, Khet Don Mueang, Krung Thep Maha Nakhon 10210, Thailand']",21.9 km,31 mins
9,เมืองปทุมธานี,"('เมืองปทุมธานี', 'ปทุมธานี')",สายไหม,"('สายไหม', 'กรุงเทพมหานคร')","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['222 Sukhaphiban 5 Road, Khwaeng Ao Ngoen, Khet Sai Mai, Krung Thep Maha Nakhon 10220, Thailand']",36.7 km,45 mins
10,เมืองปทุมธานี,"('เมืองปทุมธานี', 'ปทุมธานี')",บางบัวทอง,"('บางบัวทอง', 'นนทบุรี')","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['หมู่ที่ 6 99 Bang Bua Thong - Suphan Buri Rd, Tambon Lahan, Amphoe Bang Bua Thong, Chang Wat Nonthaburi 11110, Thailand']",23.2 km,25 mins
11,เมืองปทุมธานี,"('เมืองปทุมธานี', 'ปทุมธานี')",ปากเกร็ด,"('ปากเกร็ด', 'นนทบุรี')","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['37 Chaeng Watthana Rd, Tambon Pak Kret, Amphoe Pak Kret, Chang Wat Nonthaburi 11120, Thailand']",24.4 km,25 mins
12,เมืองปทุมธานี,"('เมืองปทุมธานี', 'ปทุมธานี')",คลองหลวง,"('คลองหลวง', 'ปทุมธานี')","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['3J7W+W6R, Phahonyothin Rd, Khlong Nueng, Amphoe Khlong Luang, Chang Wat Pathum Thani 12120, Thailand']",23.3 km,28 mins
13,เมืองปทุมธานี,"('เมืองปทุมธานี', 'ปทุมธานี')",ธัญบุรี,"('ธัญบุรี', 'ปทุมธานี')","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['130 Moo 2 Rangsit - Nakhon Nayok Rd, Tambon Rangsit, Amphoe Thanyaburi, Chang Wat Pathum Thani 12110, Thailand']",26.8 km,38 mins
14,เมืองปทุมธานี,"('เมืองปทุมธานี', 'ปทุมธานี')",ลาดหลุมแก้ว,"('ลาดหลุมแก้ว', 'ปทุมธานี')","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']","['ที่ว่าการอำเภอลาดหลุมแก้ว Tambon Rahaeng, Amphoe Lat Lum Kaeo, Chang Wat Pathum Thani 12140, Thailand']",16.0 km,22 mins
