,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,พระนคร,"('พระนคร', 'กรุงเทพมหานคร')",ดุสิต,"('ดุสิต', 'กรุงเทพมหานคร')","['80 Thanon Samsen, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10300, Thailand']","['75 Rama V Rd, Khwaeng Dusit, Khet Dusit, Krung Thep Maha Nakhon 10300, Thailand']",4.5 km,14 mins
1,พระนคร,"('พระนคร', 'กรุงเทพมหานคร')",บางรัก,"('บางรัก', 'กรุงเทพมหานคร')","['80 Thanon Samsen, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10300, Thailand']","['12 Naret Rd, Khwaeng Si Phraya, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand']",8.0 km,19 mins
2,พระนคร,"('พระนคร', 'กรุงเทพมหานคร')",พญาไท,"('พญาไท', 'กรุงเทพมหานคร')","['80 Thanon Samsen, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10300, Thailand']","['14, ซอยเพชรบุรี 19 ถนนเพชรบุรี, แขวงถนนพญาไท เขตพญาไท กรุงเทพมหานคร, 10400 แขวงพญาไท Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand']",8.0 km,22 mins
3,พระนคร,"('พระนคร', 'กรุงเทพมหานคร')",ปทุมวัน,"('ปทุมวัน', 'กรุงเทพมหานคร')","['80 Thanon Samsen, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10300, Thailand']","['715 ถนน บรรทัดทอง Khwaeng Wang Mai, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand']",5.6 km,16 mins
4,พระนคร,"('พระนคร', 'กรุงเทพมหานคร')",ป้อมปราบศัตรูพ่าย,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","['80 Thanon Samsen, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10300, Thailand']","['120 Thanon Suppha Mit, Khwaeng Wat Sommanat, Khet Pom Prap Sattru Phai, Krung Thep Maha Nakhon 10100, Thailand']",3.1 km,10 mins
5,พระนคร,"('พระนคร', 'กรุงเทพมหานคร')",สัมพันธวงศ์,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","['80 Thanon Samsen, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10300, Thailand']","['7 Charoen Krung Road, Khwaeng Talat Noi, Khet Samphanthawong, Krung Thep Maha Nakhon 10100, Thailand']",6.0 km,19 mins
6,พระนคร,"('พระนคร', 'กรุงเทพมหานคร')",ยานนาวา,"('ยานนาวา', 'กรุงเทพมหานคร')","['80 Thanon Samsen, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10300, Thailand']","['211, 5-8 น Nonsi Rd, Khwaeng Chong Nonsi, Khet Yan Nawa, Krung Thep Maha Nakhon 10120, Thailand']",15.0 km,24 mins
7,พระนคร,"('พระนคร', 'กรุงเทพมหานคร')",ธนบุรี,"('ธนบุรี', 'กรุงเทพมหานคร')","['80 Thanon Samsen, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10300, Thailand']","['149 ถ. เทอดไท Khwaeng Bang Yi Ruea, Khet Thon Buri, Krung Thep Maha Nakhon 10600, Thailand']",7.5 km,21 mins
8,พระนคร,"('พระนคร', 'กรุงเทพมหานคร')",บางกอกใหญ่,"('บางกอกใหญ่', 'กรุงเทพมหานคร')","['80 Thanon Samsen, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10300, Thailand']","['16612 Ratchadaphisek 16 Alley, Lane 2, Khwaeng Wat Tha Phra, Khet Bangkok Yai, Krung Thep Maha Nakhon 10600, Thailand']",9.3 km,24 mins
9,พระนคร,"('พระนคร', 'กรุงเทพมหานคร')",คลองสาน,"('คลองสาน', 'กรุงเทพมหานคร')","['80 Thanon Samsen, Khwaeng Wat Sam Phraya, Khet Phra Nakhon, Krung Thep Maha Nakhon 10300, Thailand']","['865 Lat Ya Rd, Khwaeng Khlong San, Khet Khlong San, Krung Thep Maha Nakhon 10600, Thailand']",7.0 km,20 mins
