,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,ควนขนุน,"('ควนขนุน', 'พัทลุง')",ชะอวด,"('ชะอวด', 'นครศรีธรรมราช')","['ส่วนอำเภอ, Tambon Khuan Khanun, Amphoe Khuan Khanun, Chang Wat Phatthalung 93110, Thailand']","['XXWQ+5MF, Cha-uat, Cha-uat District, Nakhon Si Thammarat 80180, Thailand']",37.6 km,39 mins
1,ควนขนุน,"('ควนขนุน', 'พัทลุง')",หัวไทร,"('หัวไทร', 'นครศรีธรรมราช')","['ส่วนอำเภอ, Tambon Khuan Khanun, Amphoe Khuan Khanun, Chang Wat Phatthalung 93110, Thailand']","['27RG+587, Hua Sai, Hua Sai District, Nakhon Si Thammarat 80170, Thailand']",65.3 km,1 hour 4 mins
2,ควนขนุน,"('ควนขนุน', 'พัทลุง')",กระแสสินธุ์,"('กระแสสินธุ์', 'สงขลา')","['ส่วนอำเภอ, Tambon Khuan Khanun, Amphoe Khuan Khanun, Chang Wat Phatthalung 93110, Thailand']","['J89H+2HM, Choeng Sae, Krasae Sin District, Songkhla 90270, Thailand']",63.6 km,1 hour 4 mins
3,ควนขนุน,"('ควนขนุน', 'พัทลุง')",ระโนด,"('ระโนด', 'สงขลา')","['ส่วนอำเภอ, Tambon Khuan Khanun, Amphoe Khuan Khanun, Chang Wat Phatthalung 93110, Thailand']","['666, อาคารที่ว่าการอำเภอระโนด, ถนนสุุคนธาภิรมย์, ตำบลระโนด อำเภอระโนด จังหวัดสงขลา, 90140 Tambon Ranot, Amphoe Ranot, Chang Wat Songkhla 90140, Thailand']",46.4 km,48 mins
4,ควนขนุน,"('ควนขนุน', 'พัทลุง')",เมืองพัทลุง,"('เมืองพัทลุง', 'พัทลุง')","['ส่วนอำเภอ, Tambon Khuan Khanun, Amphoe Khuan Khanun, Chang Wat Phatthalung 93110, Thailand']","['Choeytukaraj, Tambon Khuha Sawan, Amphoe Muang Phatthalung, Chang Wat Phatthalung 93000, Thailand']",17.4 km,17 mins
5,ควนขนุน,"('ควนขนุน', 'พัทลุง')",ศรีบรรพต,"('ศรีบรรพต', 'พัทลุง')","['ส่วนอำเภอ, Tambon Khuan Khanun, Amphoe Khuan Khanun, Chang Wat Phatthalung 93110, Thailand']","['หมู่ที่ 9 อาคารที่ว่าการ Tambon Khao Ya, Amphoe Si Banphot, Chang Wat Phatthalung 93190, Thailand']",14.7 km,18 mins
6,ควนขนุน,"('ควนขนุน', 'พัทลุง')",ป่าพยอม,"('ป่าพยอม', 'พัทลุง')","['ส่วนอำเภอ, Tambon Khuan Khanun, Amphoe Khuan Khanun, Chang Wat Phatthalung 93110, Thailand']","['RWR9+33X, Pa Phayom, Pa Phayom District, Phatthalung 93110, Thailand']",18.2 km,20 mins
7,ควนขนุน,"('ควนขนุน', 'พัทลุง')",ศรีนครินทร์,"('ศรีนครินทร์', 'พัทลุง')","['ส่วนอำเภอ, Tambon Khuan Khanun, Amphoe Khuan Khanun, Chang Wat Phatthalung 93110, Thailand']","['HW9V+X84, Chumphon, Srinagarindra District, Phatthalung 93000, Thailand']",30.0 km,28 mins
8,ตะโหมด,"('ตะโหมด', 'พัทลุง')",ทุ่งหว้า,"('ทุ่งหว้า', 'สตูล')","['84Q6+RF3, Mae Khari, Tamot District, Phatthalung 93160, Thailand']","['3QR9+344, Thung Wa, Thung Wa District, Satun 91120, Thailand']",140 km,2 hours 5 mins
9,ตะโหมด,"('ตะโหมด', 'พัทลุง')",ปะเหลียน,"('ปะเหลียน', 'ตรัง')","['84Q6+RF3, Mae Khari, Tamot District, Phatthalung 93160, Thailand']","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']",119 km,1 hour 49 mins
10,ตะโหมด,"('ตะโหมด', 'พัทลุง')",กงหรา,"('กงหรา', 'พัทลุง')","['84Q6+RF3, Mae Khari, Tamot District, Phatthalung 93160, Thailand']","['ที่ว่าการอำเภอกงหรา, Tambon Khlong Sai Khao, Amphoe Kong Ra, Chang Wat Phatthalung 93180, Thailand']",26.1 km,28 mins
11,ตะโหมด,"('ตะโหมด', 'พัทลุง')",เขาชัยสน,"('เขาชัยสน', 'พัทลุง')","['84Q6+RF3, Mae Khari, Tamot District, Phatthalung 93160, Thailand']","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']",18.3 km,20 mins
12,ตะโหมด,"('ตะโหมด', 'พัทลุง')",ป่าบอน,"('ป่าบอน', 'พัทลุง')","['84Q6+RF3, Mae Khari, Tamot District, Phatthalung 93160, Thailand']","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']",15.8 km,18 mins
13,ตะโหมด,"('ตะโหมด', 'พัทลุง')",บางแก้ว,"('บางแก้ว', 'พัทลุง')","['84Q6+RF3, Mae Khari, Tamot District, Phatthalung 93160, Thailand']","['C5HH+R58, Na Pakho, Bang Kaeo District, Phatthalung 93140, Thailand']",15.3 km,18 mins
14,เมืองพัทลุง,"('เมืองพัทลุง', 'พัทลุง')",ควนขนุน,"('ควนขนุน', 'พัทลุง')","['Choeytukaraj, Tambon Khuha Sawan, Amphoe Muang Phatthalung, Chang Wat Phatthalung 93000, Thailand']","['ส่วนอำเภอ, Tambon Khuan Khanun, Amphoe Khuan Khanun, Chang Wat Phatthalung 93110, Thailand']",20.5 km,25 mins
15,เมืองพัทลุง,"('เมืองพัทลุง', 'พัทลุง')",กระแสสินธุ์,"('กระแสสินธุ์', 'สงขลา')","['Choeytukaraj, Tambon Khuha Sawan, Amphoe Muang Phatthalung, Chang Wat Phatthalung 93000, Thailand']","['J89H+2HM, Choeng Sae, Krasae Sin District, Songkhla 90270, Thailand']",68.9 km,1 hour 16 mins
16,เมืองพัทลุง,"('เมืองพัทลุง', 'พัทลุง')",ระโนด,"('ระโนด', 'สงขลา')","['Choeytukaraj, Tambon Khuha Sawan, Amphoe Muang Phatthalung, Chang Wat Phatthalung 93000, Thailand']","['666, อาคารที่ว่าการอำเภอระโนด, ถนนสุุคนธาภิรมย์, ตำบลระโนด อำเภอระโนด จังหวัดสงขลา, 90140 Tambon Ranot, Amphoe Ranot, Chang Wat Songkhla 90140, Thailand']",51.8 km,1 hour 0 mins
17,เมืองพัทลุง,"('เมืองพัทลุง', 'พัทลุง')",กงหรา,"('กงหรา', 'พัทลุง')","['Choeytukaraj, Tambon Khuha Sawan, Amphoe Muang Phatthalung, Chang Wat Phatthalung 93000, Thailand']","['ที่ว่าการอำเภอกงหรา, Tambon Khlong Sai Khao, Amphoe Kong Ra, Chang Wat Phatthalung 93180, Thailand']",38.9 km,42 mins
18,เมืองพัทลุง,"('เมืองพัทลุง', 'พัทลุง')",เขาชัยสน,"('เขาชัยสน', 'พัทลุง')","['Choeytukaraj, Tambon Khuha Sawan, Amphoe Muang Phatthalung, Chang Wat Phatthalung 93000, Thailand']","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']",28.0 km,29 mins
19,เมืองพัทลุง,"('เมืองพัทลุง', 'พัทลุง')",ศรีบรรพต,"('ศรีบรรพต', 'พัทลุง')","['Choeytukaraj, Tambon Khuha Sawan, Amphoe Muang Phatthalung, Chang Wat Phatthalung 93000, Thailand']","['หมู่ที่ 9 อาคารที่ว่าการ Tambon Khao Ya, Amphoe Si Banphot, Chang Wat Phatthalung 93190, Thailand']",30.8 km,32 mins
20,เมืองพัทลุง,"('เมืองพัทลุง', 'พัทลุง')",ศรีนครินทร์,"('ศรีนครินทร์', 'พัทลุง')","['Choeytukaraj, Tambon Khuha Sawan, Amphoe Muang Phatthalung, Chang Wat Phatthalung 93000, Thailand']","['HW9V+X84, Chumphon, Srinagarindra District, Phatthalung 93000, Thailand']",16.7 km,19 mins
21,กงหรา,"('กงหรา', 'พัทลุง')",ย่านตาขาว,"('ย่านตาขาว', 'ตรัง')","['ที่ว่าการอำเภอกงหรา, Tambon Khlong Sai Khao, Amphoe Kong Ra, Chang Wat Phatthalung 93180, Thailand']","['อาคารที่ว่าการอำเภอย่านตาขาว, ถนนตรัง-ปะเหลียน, ตำบลย่านตาขาว อำเภอย่านตาขาว จังหวัดตรัง, 92140 Tambon Yan Ta Khao, Amphoe Yan Ta Khao, Chang Wat Trang 92140, Thailand']",71.7 km,1 hour 12 mins
22,กงหรา,"('กงหรา', 'พัทลุง')",ปะเหลียน,"('ปะเหลียน', 'ตรัง')","['ที่ว่าการอำเภอกงหรา, Tambon Khlong Sai Khao, Amphoe Kong Ra, Chang Wat Phatthalung 93180, Thailand']","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']",93.5 km,1 hour 30 mins
23,กงหรา,"('กงหรา', 'พัทลุง')",ตะโหมด,"('ตะโหมด', 'พัทลุง')","['ที่ว่าการอำเภอกงหรา, Tambon Khlong Sai Khao, Amphoe Kong Ra, Chang Wat Phatthalung 93180, Thailand']","['84Q6+RF3, Mae Khari, Tamot District, Phatthalung 93160, Thailand']",25.2 km,26 mins
24,กงหรา,"('กงหรา', 'พัทลุง')",เมืองพัทลุง,"('เมืองพัทลุง', 'พัทลุง')","['ที่ว่าการอำเภอกงหรา, Tambon Khlong Sai Khao, Amphoe Kong Ra, Chang Wat Phatthalung 93180, Thailand']","['Choeytukaraj, Tambon Khuha Sawan, Amphoe Muang Phatthalung, Chang Wat Phatthalung 93000, Thailand']",39.3 km,43 mins
25,กงหรา,"('กงหรา', 'พัทลุง')",เขาชัยสน,"('เขาชัยสน', 'พัทลุง')","['ที่ว่าการอำเภอกงหรา, Tambon Khlong Sai Khao, Amphoe Kong Ra, Chang Wat Phatthalung 93180, Thailand']","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']",27.8 km,33 mins
26,กงหรา,"('กงหรา', 'พัทลุง')",ศรีนครินทร์,"('ศรีนครินทร์', 'พัทลุง')","['ที่ว่าการอำเภอกงหรา, Tambon Khlong Sai Khao, Amphoe Kong Ra, Chang Wat Phatthalung 93180, Thailand']","['HW9V+X84, Chumphon, Srinagarindra District, Phatthalung 93000, Thailand']",23.8 km,28 mins
27,เขาชัยสน,"('เขาชัยสน', 'พัทลุง')",กระแสสินธุ์,"('กระแสสินธุ์', 'สงขลา')","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']","['J89H+2HM, Choeng Sae, Krasae Sin District, Songkhla 90270, Thailand']",85.4 km,1 hour 38 mins
28,เขาชัยสน,"('เขาชัยสน', 'พัทลุง')",ตะโหมด,"('ตะโหมด', 'พัทลุง')","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']","['84Q6+RF3, Mae Khari, Tamot District, Phatthalung 93160, Thailand']",17.2 km,19 mins
29,เขาชัยสน,"('เขาชัยสน', 'พัทลุง')",เมืองพัทลุง,"('เมืองพัทลุง', 'พัทลุง')","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']","['Choeytukaraj, Tambon Khuha Sawan, Amphoe Muang Phatthalung, Chang Wat Phatthalung 93000, Thailand']",28.2 km,29 mins
30,เขาชัยสน,"('เขาชัยสน', 'พัทลุง')",กงหรา,"('กงหรา', 'พัทลุง')","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']","['ที่ว่าการอำเภอกงหรา, Tambon Khlong Sai Khao, Amphoe Kong Ra, Chang Wat Phatthalung 93180, Thailand']",31.7 km,37 mins
31,เขาชัยสน,"('เขาชัยสน', 'พัทลุง')",ปากพะยูน,"('ปากพะยูน', 'พัทลุง')","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']","['88V8+3W5, Pak Phayun, Pak Phayun District, Phatthalung 93120, Thailand']",31.8 km,43 mins
32,เขาชัยสน,"('เขาชัยสน', 'พัทลุง')",ป่าบอน,"('ป่าบอน', 'พัทลุง')","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']",27.4 km,29 mins
33,เขาชัยสน,"('เขาชัยสน', 'พัทลุง')",บางแก้ว,"('บางแก้ว', 'พัทลุง')","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']","['C5HH+R58, Na Pakho, Bang Kaeo District, Phatthalung 93140, Thailand']",11.9 km,18 mins
34,ปากพะยูน,"('ปากพะยูน', 'พัทลุง')",สทิงพระ,"('สทิงพระ', 'สงขลา')","['88V8+3W5, Pak Phayun, Pak Phayun District, Phatthalung 93120, Thailand']","['FCFQ+3HW, Cha Thing Phra, Sathing Phra District, Songkhla 90190, Thailand']",54.0 km,54 mins
35,ปากพะยูน,"('ปากพะยูน', 'พัทลุง')",กระแสสินธุ์,"('กระแสสินธุ์', 'สงขลา')","['88V8+3W5, Pak Phayun, Pak Phayun District, Phatthalung 93120, Thailand']","['J89H+2HM, Choeng Sae, Krasae Sin District, Songkhla 90270, Thailand']",79.9 km,1 hour 18 mins
36,ปากพะยูน,"('ปากพะยูน', 'พัทลุง')",รัตภูมิ,"('รัตภูมิ', 'สงขลา')","['88V8+3W5, Pak Phayun, Pak Phayun District, Phatthalung 93120, Thailand']","['36 Yontrakan Kamtorn Rd, Tambon Kamphaeng Phet, Amphoe Rattaphum, Chang Wat Songkhla 90180, Thailand']",33.5 km,40 mins
37,ปากพะยูน,"('ปากพะยูน', 'พัทลุง')",สิงหนคร,"('สิงหนคร', 'สงขลา')","['88V8+3W5, Pak Phayun, Pak Phayun District, Phatthalung 93120, Thailand']","['6HQ3+84H, Sathing Mo, Singhanakhon District, Songkhla 90280, Thailand']",40.8 km,45 mins
38,ปากพะยูน,"('ปากพะยูน', 'พัทลุง')",ควนเนียง,"('ควนเนียง', 'สงขลา')","['88V8+3W5, Pak Phayun, Pak Phayun District, Phatthalung 93120, Thailand']","['59P5+Q5V, Rattaphum, Khuan Niang District, Songkhla 90220, Thailand']",21.9 km,27 mins
39,ปากพะยูน,"('ปากพะยูน', 'พัทลุง')",เขาชัยสน,"('เขาชัยสน', 'พัทลุง')","['88V8+3W5, Pak Phayun, Pak Phayun District, Phatthalung 93120, Thailand']","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']",31.8 km,43 mins
40,ปากพะยูน,"('ปากพะยูน', 'พัทลุง')",ป่าบอน,"('ป่าบอน', 'พัทลุง')","['88V8+3W5, Pak Phayun, Pak Phayun District, Phatthalung 93120, Thailand']","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']",28.2 km,34 mins
41,ปากพะยูน,"('ปากพะยูน', 'พัทลุง')",บางแก้ว,"('บางแก้ว', 'พัทลุง')","['88V8+3W5, Pak Phayun, Pak Phayun District, Phatthalung 93120, Thailand']","['C5HH+R58, Na Pakho, Bang Kaeo District, Phatthalung 93140, Thailand']",24.5 km,30 mins
42,ศรีบรรพต,"('ศรีบรรพต', 'พัทลุง')",เมืองตรัง,"('เมืองตรัง', 'ตรัง')","['หมู่ที่ 9 อาคารที่ว่าการ Tambon Khao Ya, Amphoe Si Banphot, Chang Wat Phatthalung 93190, Thailand']","['101 Visadekul Alley, Tambon Thap Thiang, Amphoe Mueang Trang, Chang Wat Trang 92000, Thailand']",56.6 km,1 hour 2 mins
43,ศรีบรรพต,"('ศรีบรรพต', 'พัทลุง')",ห้วยยอด,"('ห้วยยอด', 'ตรัง')","['หมู่ที่ 9 อาคารที่ว่าการ Tambon Khao Ya, Amphoe Si Banphot, Chang Wat Phatthalung 93190, Thailand']","['QJQM+GVR, Huai Yot, Huai Yot District, Trang 92130, Thailand']",62.3 km,1 hour 17 mins
44,ศรีบรรพต,"('ศรีบรรพต', 'พัทลุง')",ควนขนุน,"('ควนขนุน', 'พัทลุง')","['หมู่ที่ 9 อาคารที่ว่าการ Tambon Khao Ya, Amphoe Si Banphot, Chang Wat Phatthalung 93190, Thailand']","['ส่วนอำเภอ, Tambon Khuan Khanun, Amphoe Khuan Khanun, Chang Wat Phatthalung 93110, Thailand']",14.7 km,19 mins
45,ศรีบรรพต,"('ศรีบรรพต', 'พัทลุง')",นาโยง,"('นาโยง', 'ตรัง')","['หมู่ที่ 9 อาคารที่ว่าการ Tambon Khao Ya, Amphoe Si Banphot, Chang Wat Phatthalung 93190, Thailand']","['238, Trang-Phatthalung Rd., Na Yong Nua Na Yong Trang, 92170, ตำบล นาโยงเหนือ อำเภอ นาโยง ตรัง 92170, Thailand']",46.9 km,48 mins
46,ศรีบรรพต,"('ศรีบรรพต', 'พัทลุง')",เมืองพัทลุง,"('เมืองพัทลุง', 'พัทลุง')","['หมู่ที่ 9 อาคารที่ว่าการ Tambon Khao Ya, Amphoe Si Banphot, Chang Wat Phatthalung 93190, Thailand']","['Choeytukaraj, Tambon Khuha Sawan, Amphoe Muang Phatthalung, Chang Wat Phatthalung 93000, Thailand']",29.2 km,29 mins
47,ศรีบรรพต,"('ศรีบรรพต', 'พัทลุง')",ป่าพยอม,"('ป่าพยอม', 'พัทลุง')","['หมู่ที่ 9 อาคารที่ว่าการ Tambon Khao Ya, Amphoe Si Banphot, Chang Wat Phatthalung 93190, Thailand']","['RWR9+33X, Pa Phayom, Pa Phayom District, Phatthalung 93110, Thailand']",21.9 km,24 mins
48,ศรีบรรพต,"('ศรีบรรพต', 'พัทลุง')",ศรีนครินทร์,"('ศรีนครินทร์', 'พัทลุง')","['หมู่ที่ 9 อาคารที่ว่าการ Tambon Khao Ya, Amphoe Si Banphot, Chang Wat Phatthalung 93190, Thailand']","['HW9V+X84, Chumphon, Srinagarindra District, Phatthalung 93000, Thailand']",24.3 km,31 mins
49,ป่าบอน,"('ป่าบอน', 'พัทลุง')",ทุ่งหว้า,"('ทุ่งหว้า', 'สตูล')","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']","['3QR9+344, Thung Wa, Thung Wa District, Satun 91120, Thailand']",138 km,2 hours 10 mins
50,ป่าบอน,"('ป่าบอน', 'พัทลุง')",มะนัง,"('มะนัง', 'สตูล')","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']","['XWXC+CMM, Palm Phatthana, Manang District, Satun 91130, Thailand']",110 km,1 hour 48 mins
51,ป่าบอน,"('ป่าบอน', 'พัทลุง')",ปะเหลียน,"('ปะเหลียน', 'ตรัง')","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']",128 km,1 hour 56 mins
52,ป่าบอน,"('ป่าบอน', 'พัทลุง')",รัตภูมิ,"('รัตภูมิ', 'สงขลา')","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']","['36 Yontrakan Kamtorn Rd, Tambon Kamphaeng Phet, Amphoe Rattaphum, Chang Wat Songkhla 90180, Thailand']",39.8 km,45 mins
53,ป่าบอน,"('ป่าบอน', 'พัทลุง')",ตะโหมด,"('ตะโหมด', 'พัทลุง')","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']","['84Q6+RF3, Mae Khari, Tamot District, Phatthalung 93160, Thailand']",14.0 km,14 mins
54,ป่าบอน,"('ป่าบอน', 'พัทลุง')",ควนเนียง,"('ควนเนียง', 'สงขลา')","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']","['59P5+Q5V, Rattaphum, Khuan Niang District, Songkhla 90220, Thailand']",39.6 km,50 mins
55,ป่าบอน,"('ป่าบอน', 'พัทลุง')",ควนกาหลง,"('ควนกาหลง', 'สตูล')","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']","['ถนนทีไมมีชือ, Tambon Khuan Kalong, Amphoe Khuan Kalong, Chang Wat Satun 91130, Thailand']",78.9 km,1 hour 18 mins
56,ป่าบอน,"('ป่าบอน', 'พัทลุง')",เขาชัยสน,"('เขาชัยสน', 'พัทลุง')","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']",26.8 km,27 mins
57,ป่าบอน,"('ป่าบอน', 'พัทลุง')",ปากพะยูน,"('ปากพะยูน', 'พัทลุง')","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']","['88V8+3W5, Pak Phayun, Pak Phayun District, Phatthalung 93120, Thailand']",26.5 km,31 mins
58,ป่าบอน,"('ป่าบอน', 'พัทลุง')",บางแก้ว,"('บางแก้ว', 'พัทลุง')","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']","['C5HH+R58, Na Pakho, Bang Kaeo District, Phatthalung 93140, Thailand']",23.8 km,26 mins
59,บางแก้ว,"('บางแก้ว', 'พัทลุง')",กระแสสินธุ์,"('กระแสสินธุ์', 'สงขลา')","['C5HH+R58, Na Pakho, Bang Kaeo District, Phatthalung 93140, Thailand']","['J89H+2HM, Choeng Sae, Krasae Sin District, Songkhla 90270, Thailand']",104 km,1 hour 47 mins
60,บางแก้ว,"('บางแก้ว', 'พัทลุง')",ตะโหมด,"('ตะโหมด', 'พัทลุง')","['C5HH+R58, Na Pakho, Bang Kaeo District, Phatthalung 93140, Thailand']","['84Q6+RF3, Mae Khari, Tamot District, Phatthalung 93160, Thailand']",15.3 km,19 mins
61,บางแก้ว,"('บางแก้ว', 'พัทลุง')",เขาชัยสน,"('เขาชัยสน', 'พัทลุง')","['C5HH+R58, Na Pakho, Bang Kaeo District, Phatthalung 93140, Thailand']","['F46M+9HW, Khao Chaison, Khao Chaison District, Phatthalung 93130, Thailand']",11.9 km,19 mins
62,บางแก้ว,"('บางแก้ว', 'พัทลุง')",ปากพะยูน,"('ปากพะยูน', 'พัทลุง')","['C5HH+R58, Na Pakho, Bang Kaeo District, Phatthalung 93140, Thailand']","['88V8+3W5, Pak Phayun, Pak Phayun District, Phatthalung 93120, Thailand']",24.6 km,29 mins
63,บางแก้ว,"('บางแก้ว', 'พัทลุง')",ป่าบอน,"('ป่าบอน', 'พัทลุง')","['C5HH+R58, Na Pakho, Bang Kaeo District, Phatthalung 93140, Thailand']","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']",25.5 km,30 mins
64,ป่าพยอม,"('ป่าพยอม', 'พัทลุง')",ชะอวด,"('ชะอวด', 'นครศรีธรรมราช')","['RWR9+33X, Pa Phayom, Pa Phayom District, Phatthalung 93110, Thailand']","['XXWQ+5MF, Cha-uat, Cha-uat District, Nakhon Si Thammarat 80180, Thailand']",24.5 km,28 mins
