,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,แม่สะเรียง,"('แม่สะเรียง', 'แม่ฮ่องสอน')",ฮอด,"('ฮอด', 'เชียงใหม่')","['5W5M+M55, Mae Sariang, Mae Sariang District, Mae Hong Son 58110, Thailand']","['44 108, Tambon Hang Dong, Amphoe Hang Dong, Chang Wat Chiang Mai 50230, Thailand']",177 km,3 hours 0 mins
1,แม่สะเรียง,"('แม่สะเรียง', 'แม่ฮ่องสอน')",อมก๋อย,"('อมก๋อย', 'เชียงใหม่')","['5W5M+M55, Mae Sariang, Mae Sariang District, Mae Hong Son 58110, Thailand']","['R925+85Q, Omkoi, Omkoi District, Chiang Mai 50310, Thailand']",116 km,1 hour 56 mins
2,แม่สะเรียง,"('แม่สะเรียง', 'แม่ฮ่องสอน')",แม่ลาน้อย,"('แม่ลาน้อย', 'แม่ฮ่องสอน')","['5W5M+M55, Mae Sariang, Mae Sariang District, Mae Hong Son 58110, Thailand']","['9WMP+MQ3, Mae La Noi, Mae La Noi District, Mae Hong Son 58120, Thailand']",32.2 km,38 mins
3,แม่สะเรียง,"('แม่สะเรียง', 'แม่ฮ่องสอน')",สบเมย,"('สบเมย', 'แม่ฮ่องสอน')","['5W5M+M55, Mae Sariang, Mae Sariang District, Mae Hong Son 58110, Thailand']","['XW7J+2Q9, Mae Khatuan, Sop Moei District, Mae Hong Son 58110, Thailand']",26.2 km,31 mins
4,แม่สะเรียง,"('แม่สะเรียง', 'แม่ฮ่องสอน')",แม่แจ่ม,"('แม่แจ่ม', 'เชียงใหม่')","['5W5M+M55, Mae Sariang, Mae Sariang District, Mae Hong Son 58110, Thailand']","['F9X6+HRX, Chang Khoeng, Mae Chaem District, Chiang Mai 50270, Thailand']",128 km,2 hours 20 mins
5,แม่สะเรียง,"('แม่สะเรียง', 'แม่ฮ่องสอน')",ขุนยวม,"('ขุนยวม', 'แม่ฮ่องสอน')","['5W5M+M55, Mae Sariang, Mae Sariang District, Mae Hong Son 58110, Thailand']","['888 หมู่ 1, ถนนขุนยวม-แม่แจ่ม, ตำบลขุนยวม อำเภอขุนยวม จังหวัดแม่ฮ่องสอน, 58140 Tambon Khun Yuam, Amphoe Khun Yuam, Chang Wat Mae Hong Son 58140, Thailand']",100 km,1 hour 54 mins
6,แม่ลาน้อย,"('แม่ลาน้อย', 'แม่ฮ่องสอน')",แม่สะเรียง,"('แม่สะเรียง', 'แม่ฮ่องสอน')","['9WMP+MQ3, Mae La Noi, Mae La Noi District, Mae Hong Son 58120, Thailand']","['5W5M+M55, Mae Sariang, Mae Sariang District, Mae Hong Son 58110, Thailand']",31.3 km,34 mins
7,แม่ลาน้อย,"('แม่ลาน้อย', 'แม่ฮ่องสอน')",แม่แจ่ม,"('แม่แจ่ม', 'เชียงใหม่')","['9WMP+MQ3, Mae La Noi, Mae La Noi District, Mae Hong Son 58120, Thailand']","['F9X6+HRX, Chang Khoeng, Mae Chaem District, Chiang Mai 50270, Thailand']",158 km,2 hours 48 mins
8,แม่ลาน้อย,"('แม่ลาน้อย', 'แม่ฮ่องสอน')",ขุนยวม,"('ขุนยวม', 'แม่ฮ่องสอน')","['9WMP+MQ3, Mae La Noi, Mae La Noi District, Mae Hong Son 58120, Thailand']","['888 หมู่ 1, ถนนขุนยวม-แม่แจ่ม, ตำบลขุนยวม อำเภอขุนยวม จังหวัดแม่ฮ่องสอน, 58140 Tambon Khun Yuam, Amphoe Khun Yuam, Chang Wat Mae Hong Son 58140, Thailand']",68.3 km,1 hour 18 mins
9,สบเมย,"('สบเมย', 'แม่ฮ่องสอน')",ฮอด,"('ฮอด', 'เชียงใหม่')","['XW7J+2Q9, Mae Khatuan, Sop Moei District, Mae Hong Son 58110, Thailand']","['44 108, Tambon Hang Dong, Amphoe Hang Dong, Chang Wat Chiang Mai 50230, Thailand']",201 km,3 hours 27 mins
