,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองกำแพงเพชร,"('เมืองกำแพงเพชร', 'กำแพงเพชร')",ไทรงาม,"('ไทรงาม', 'กำแพงเพชร')","['FGPF+3XG, Nai Mueang, Mueang Kamphaeng Phet District, Kamphaeng Phet 62000, Thailand']","['FVFW+2H3, Kovit Pitsawong Alley, Tambon Sai Ngam, Amphoe Sai Ngam, Chang Wat Kamphaeng Phet 62150, Thailand']",44.5 km,42 mins
1,เมืองกำแพงเพชร,"('เมืองกำแพงเพชร', 'กำแพงเพชร')",คลองลาน,"('คลองลาน', 'กำแพงเพชร')","['FGPF+3XG, Nai Mueang, Mueang Kamphaeng Phet District, Kamphaeng Phet 62000, Thailand']","['999 หมู่ที่ 21 Tambon Khlong Nam Lai, Amphoe Khlong Lan, Chang Wat Kamphaeng Phet 62180, Thailand']",43.8 km,44 mins
2,เมืองกำแพงเพชร,"('เมืองกำแพงเพชร', 'กำแพงเพชร')",คลองขลุง,"('คลองขลุง', 'กำแพงเพชร')","['FGPF+3XG, Nai Mueang, Mueang Kamphaeng Phet District, Kamphaeng Phet 62000, Thailand']","['หมู่ 2, อาคารที่ว่าการอำเภอคลองขลุง, ตำบลคลองขลุง อำเภอคลองขลุง จังหวัดกำแพงเพชร, 62120 Tambon Khlong Khlung, Amphoe Khlong Khlung, Chang Wat Kamphaeng Phet 62120, Thailand']",45.3 km,38 mins
3,เมืองกำแพงเพชร,"('เมืองกำแพงเพชร', 'กำแพงเพชร')",พรานกระต่าย,"('พรานกระต่าย', 'กำแพงเพชร')","['FGPF+3XG, Nai Mueang, Mueang Kamphaeng Phet District, Kamphaeng Phet 62000, Thailand']","['5, Tambon Phran Kratai, Amphoe Phran Kratai, Chang Wat Kamphaeng Phet 62110, Thailand']",25.4 km,24 mins
4,เมืองกำแพงเพชร,"('เมืองกำแพงเพชร', 'กำแพงเพชร')",ลานกระบือ,"('ลานกระบือ', 'กำแพงเพชร')","['FGPF+3XG, Nai Mueang, Mueang Kamphaeng Phet District, Kamphaeng Phet 62000, Thailand']","['JR2X+8J8, Lan Krabue, Lan Krabue District, Kamphaeng Phet 62170, Thailand']",46.6 km,47 mins
5,เมืองกำแพงเพชร,"('เมืองกำแพงเพชร', 'กำแพงเพชร')",ทรายทองวัฒนา,"('ทรายทองวัฒนา', 'กำแพงเพชร')","['FGPF+3XG, Nai Mueang, Mueang Kamphaeng Phet District, Kamphaeng Phet 62000, Thailand']","['151 3, Tambon Thung Sai, Amphoe Sai Thong Watthana, Chang Wat Kamphaeng Phet 62190, Thailand']",54.3 km,54 mins
6,เมืองกำแพงเพชร,"('เมืองกำแพงเพชร', 'กำแพงเพชร')",ปางศิลาทอง,"('ปางศิลาทอง', 'กำแพงเพชร')","['FGPF+3XG, Nai Mueang, Mueang Kamphaeng Phet District, Kamphaeng Phet 62000, Thailand']","['357, ตำบลโพธิ์ทอง อำเภอปางศิลาทอง จังหวัดกำแพงเพชร, 62120 Tambon Pho Thong, Amphoe Pang Sila Thong, Chang Wat Kamphaeng Phet 62120, Thailand']",61.7 km,58 mins
7,เมืองกำแพงเพชร,"('เมืองกำแพงเพชร', 'กำแพงเพชร')",โกสัมพีนคร,"('โกสัมพีนคร', 'กำแพงเพชร')","['FGPF+3XG, Nai Mueang, Mueang Kamphaeng Phet District, Kamphaeng Phet 62000, Thailand']","['J8MX+9X7, Kosamphi, Kosamphi Nakhon District, Kamphaeng Phet 62000, Thailand']",32.7 km,29 mins
8,เมืองกำแพงเพชร,"('เมืองกำแพงเพชร', 'กำแพงเพชร')",วังเจ้า,"('วังเจ้า', 'ตาก')","['FGPF+3XG, Nai Mueang, Mueang Kamphaeng Phet District, Kamphaeng Phet 62000, Thailand']","['222 Phahonyothin Rd, Tambon Chiang Thong, Amphoe Wang Chao, Chang Wat Tak 63000, Thailand']",44.0 km,36 mins
9,ไทรงาม,"('ไทรงาม', 'กำแพงเพชร')",เมืองกำแพงเพชร,"('เมืองกำแพงเพชร', 'กำแพงเพชร')","['FVFW+2H3, Kovit Pitsawong Alley, Tambon Sai Ngam, Amphoe Sai Ngam, Chang Wat Kamphaeng Phet 62150, Thailand']","['FGPF+3XG, Nai Mueang, Mueang Kamphaeng Phet District, Kamphaeng Phet 62000, Thailand']",44.7 km,42 mins
