,original,destination,original address,destination address,distance,time
0,กรุงเทพมหานคร,สมุทรปราการ,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']",25.4 km,35 mins
1,กรุงเทพมหานคร,นนทบุรี,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']",15.6 km,19 mins
2,กรุงเทพมหานคร,ปทุมธานี,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['2G9M+VVJ, Thanon Tad Bomrong, Tambon Bang Prok, Amphoe Mueang Pathum Thani, Chang Wat Pathum Thani 12000, Thailand']",37.5 km,38 mins
3,กรุงเทพมหานคร,ฉะเชิงเทรา,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",70.1 km,1 hour 11 mins
4,กรุงเทพมหานคร,นครนายก,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['160 Ban Yai Alley, Tambon Ban Yai, Amphoe Mueang Nakhon Nayok, Chang Wat Nakhon Nayok 26000, Thailand']",107 km,1 hour 40 mins
5,กรุงเทพมหานคร,นครปฐม,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['30 Tesa Rd, Tambon Phra Prathom Chedi, Amphoe Mueang Nakhon Pathom, Chang Wat Nakhon Pathom 73000, Thailand']",58.8 km,59 mins
6,กรุงเทพมหานคร,สมุทรสาคร,"['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']","['เลขที่ - หมู่บ้าน ตลาดสดเทศบาลมหาชัย ชั้น2 มหาชัย Tambon Mahachai, Amphoe Mueang Samut Sakhon, Chang Wat Samut Sakhon 74000, Thailand']",46.8 km,44 mins
7,สมุทรปราการ,กรุงเทพมหานคร,"['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']",24.4 km,32 mins
8,สมุทรปราการ,ฉะเชิงเทรา,"['246 Sukhumvit Rd, Thai Ban, อำเภอเมือง Chang Wat Samut Prakan 10280, Thailand']","['39 Maha Chakkraphat 5, Tambon Na Muang, Amphoe Mueang Chachoengsao, Chang Wat Chachoengsao 24000, Thailand']",71.6 km,1 hour 14 mins
9,นนทบุรี,กรุงเทพมหานคร,"['VG67+X92, Bang Krasaw, Mueang Nonthaburi District, Nonthaburi 11000, Thailand']","['Victory Monument (Din Daeng side), Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand']",15.4 km,21 mins
