,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,หัวหิน,"('หัวหิน', 'ประจวบคีรีขันธ์')",ท่ายาง,"('ท่ายาง', 'เพชรบุรี')","['GVJJ+368, Thap Tai, Hua Hin District, Prachuap Khiri Khan 77110, Thailand']","['XVFQ+94P, Tha Yang, Tha Yang District, Phetchaburi 76130, Thailand']",54.5 km,46 mins
1,หัวหิน,"('หัวหิน', 'ประจวบคีรีขันธ์')",ชะอำ,"('ชะอำ', 'เพชรบุรี')","['GVJJ+368, Thap Tai, Hua Hin District, Prachuap Khiri Khan 77110, Thailand']","['QXX8+VR9, Narathip Rd, Tambon Cha-am, Amphoe Cha-am, Chang Wat Phetchaburi 76120, Thailand']",39.0 km,35 mins
2,หัวหิน,"('หัวหิน', 'ประจวบคีรีขันธ์')",แก่งกระจาน,"('แก่งกระจาน', 'เพชรบุรี')","['GVJJ+368, Thap Tai, Hua Hin District, Prachuap Khiri Khan 77110, Thailand']","['WJ5X+279 ถนน เขื่อนเพชร Tambon Kaeng Krachan, Amphoe Kaeng Krachan, Chang Wat Phetchaburi 76170, Thailand']",66.2 km,1 hour 3 mins
3,หัวหิน,"('หัวหิน', 'ประจวบคีรีขันธ์')",ปราณบุรี,"('ปราณบุรี', 'ประจวบคีรีขันธ์')","['GVJJ+368, Thap Tai, Hua Hin District, Prachuap Khiri Khan 77110, Thailand']","['หมู่ 3, อาคารที่ว่าการ Phet Kasem Rd, Tambon Khao Noi, Amphoe Pran Buri, Chang Wat Prachuap Khiri Khan 77120, Thailand']",17.0 km,18 mins
4,หัวหิน,"('หัวหิน', 'ประจวบคีรีขันธ์')",สามร้อยยอด,"('สามร้อยยอด', 'ประจวบคีรีขันธ์')","['GVJJ+368, Thap Tai, Hua Hin District, Prachuap Khiri Khan 77110, Thailand']","['7VCC+7QQ, SalaLai, Sam Roi Yot District, Prachuap Khiri Khan 77180, Thailand']",32.6 km,31 mins
5,เมืองประจวบคีรีขันธ์,"('เมืองประจวบคีรีขันธ์', 'ประจวบคีรีขันธ์')",กุยบุรี,"('กุยบุรี', 'ประจวบคีรีขันธ์')","['33 Pitak Chart Rd, Amphoe Mueang Prachuap Khiri Khan, Chang Wat Prachuap Khiri Khan 77000, Thailand']","['หมู่ 7, อาคารที่ว่าการอำเภอกุยบุรี, ถนนเพชรเกษม, ตำบลกุยบุรี อำเภอกุยบุรี จังหวัดประจวบคีรีขันธ์, 77150 Tambon Kui Buri, Amphoe Kui Buri, Chang Wat Prachuap Khiri Khan 77150, Thailand']",34.4 km,30 mins
6,เมืองประจวบคีรีขันธ์,"('เมืองประจวบคีรีขันธ์', 'ประจวบคีรีขันธ์')",ทับสะแก,"('ทับสะแก', 'ประจวบคีรีขันธ์')","['33 Pitak Chart Rd, Amphoe Mueang Prachuap Khiri Khan, Chang Wat Prachuap Khiri Khan 77000, Thailand']","['111 Moo 11 Tambon Thap Sakae, Amphoe Thap Sakae, Chang Wat Prachuap Khiri Khan 77130, Thailand']",44.4 km,40 mins
7,กุยบุรี,"('กุยบุรี', 'ประจวบคีรีขันธ์')",เมืองประจวบคีรีขันธ์,"('เมืองประจวบคีรีขันธ์', 'ประจวบคีรีขันธ์')","['หมู่ 7, อาคารที่ว่าการอำเภอกุยบุรี, ถนนเพชรเกษม, ตำบลกุยบุรี อำเภอกุยบุรี จังหวัดประจวบคีรีขันธ์, 77150 Tambon Kui Buri, Amphoe Kui Buri, Chang Wat Prachuap Khiri Khan 77150, Thailand']","['33 Pitak Chart Rd, Amphoe Mueang Prachuap Khiri Khan, Chang Wat Prachuap Khiri Khan 77000, Thailand']",34.5 km,30 mins
8,กุยบุรี,"('กุยบุรี', 'ประจวบคีรีขันธ์')",สามร้อยยอด,"('สามร้อยยอด', 'ประจวบคีรีขันธ์')","['หมู่ 7, อาคารที่ว่าการอำเภอกุยบุรี, ถนนเพชรเกษม, ตำบลกุยบุรี อำเภอกุยบุรี จังหวัดประจวบคีรีขันธ์, 77150 Tambon Kui Buri, Amphoe Kui Buri, Chang Wat Prachuap Khiri Khan 77150, Thailand']","['7VCC+7QQ, SalaLai, Sam Roi Yot District, Prachuap Khiri Khan 77180, Thailand']",22.2 km,18 mins
9,ทับสะแก,"('ทับสะแก', 'ประจวบคีรีขันธ์')",เมืองประจวบคีรีขันธ์,"('เมืองประจวบคีรีขันธ์', 'ประจวบคีรีขันธ์')","['111 Moo 11 Tambon Thap Sakae, Amphoe Thap Sakae, Chang Wat Prachuap Khiri Khan 77130, Thailand']","['33 Pitak Chart Rd, Amphoe Mueang Prachuap Khiri Khan, Chang Wat Prachuap Khiri Khan 77000, Thailand']",45.9 km,42 mins
