,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองตรัง,"('เมืองตรัง', 'ตรัง')",กันตัง,"('กันตัง', 'ตรัง')","['101 Visadekul Alley, Tambon Thap Thiang, Amphoe Mueang Trang, Chang Wat Trang 92000, Thailand']","['CG48+327 ถนนตรัง น้ำผุด Tambon Kantang, Amphoe Kantang, Chang Wat Trang 92110, Thailand']",24.8 km,30 mins
1,เมืองตรัง,"('เมืองตรัง', 'ตรัง')",ย่านตาขาว,"('ย่านตาขาว', 'ตรัง')","['101 Visadekul Alley, Tambon Thap Thiang, Amphoe Mueang Trang, Chang Wat Trang 92000, Thailand']","['อาคารที่ว่าการอำเภอย่านตาขาว, ถนนตรัง-ปะเหลียน, ตำบลย่านตาขาว อำเภอย่านตาขาว จังหวัดตรัง, 92140 Tambon Yan Ta Khao, Amphoe Yan Ta Khao, Chang Wat Trang 92140, Thailand']",22.2 km,26 mins
2,เมืองตรัง,"('เมืองตรัง', 'ตรัง')",สิเกา,"('สิเกา', 'ตรัง')","['101 Visadekul Alley, Tambon Thap Thiang, Amphoe Mueang Trang, Chang Wat Trang 92000, Thailand']","['ถนน Tambon Bo Hin, Amphoe Sikao, Chang Wat Trang 92150, Thailand']",33.5 km,35 mins
3,เมืองตรัง,"('เมืองตรัง', 'ตรัง')",ห้วยยอด,"('ห้วยยอด', 'ตรัง')","['101 Visadekul Alley, Tambon Thap Thiang, Amphoe Mueang Trang, Chang Wat Trang 92000, Thailand']","['QJQM+GVR, Huai Yot, Huai Yot District, Trang 92130, Thailand']",29.8 km,34 mins
4,เมืองตรัง,"('เมืองตรัง', 'ตรัง')",วังวิเศษ,"('วังวิเศษ', 'ตรัง')","['101 Visadekul Alley, Tambon Thap Thiang, Amphoe Mueang Trang, Chang Wat Trang 92000, Thailand']","['Phet Kasem Road , Wang Maprang Nuea , 92220 Khao Wiset , Trang, ตำบล วังมะปรางเหนือ อำเภอ วังวิเศษ ตรัง 92220, Thailand']",43.4 km,46 mins
5,เมืองตรัง,"('เมืองตรัง', 'ตรัง')",นาโยง,"('นาโยง', 'ตรัง')","['101 Visadekul Alley, Tambon Thap Thiang, Amphoe Mueang Trang, Chang Wat Trang 92000, Thailand']","['238, Trang-Phatthalung Rd., Na Yong Nua Na Yong Trang, 92170, ตำบล นาโยงเหนือ อำเภอ นาโยง ตรัง 92170, Thailand']",11.0 km,16 mins
6,เมืองตรัง,"('เมืองตรัง', 'ตรัง')",ศรีบรรพต,"('ศรีบรรพต', 'พัทลุง')","['101 Visadekul Alley, Tambon Thap Thiang, Amphoe Mueang Trang, Chang Wat Trang 92000, Thailand']","['หมู่ที่ 9 อาคารที่ว่าการ Tambon Khao Ya, Amphoe Si Banphot, Chang Wat Phatthalung 93190, Thailand']",55.6 km,1 hour 0 mins
7,เมืองตรัง,"('เมืองตรัง', 'ตรัง')",ศรีนครินทร์,"('ศรีนครินทร์', 'พัทลุง')","['101 Visadekul Alley, Tambon Thap Thiang, Amphoe Mueang Trang, Chang Wat Trang 92000, Thailand']","['HW9V+X84, Chumphon, Srinagarindra District, Phatthalung 93000, Thailand']",43.4 km,42 mins
8,กันตัง,"('กันตัง', 'ตรัง')",เมืองตรัง,"('เมืองตรัง', 'ตรัง')","['CG48+327 ถนนตรัง น้ำผุด Tambon Kantang, Amphoe Kantang, Chang Wat Trang 92110, Thailand']","['101 Visadekul Alley, Tambon Thap Thiang, Amphoe Mueang Trang, Chang Wat Trang 92000, Thailand']",25.4 km,31 mins
9,กันตัง,"('กันตัง', 'ตรัง')",ย่านตาขาว,"('ย่านตาขาว', 'ตรัง')","['CG48+327 ถนนตรัง น้ำผุด Tambon Kantang, Amphoe Kantang, Chang Wat Trang 92110, Thailand']","['อาคารที่ว่าการอำเภอย่านตาขาว, ถนนตรัง-ปะเหลียน, ตำบลย่านตาขาว อำเภอย่านตาขาว จังหวัดตรัง, 92140 Tambon Yan Ta Khao, Amphoe Yan Ta Khao, Chang Wat Trang 92140, Thailand']",27.0 km,29 mins
10,กันตัง,"('กันตัง', 'ตรัง')",ปะเหลียน,"('ปะเหลียน', 'ตรัง')","['CG48+327 ถนนตรัง น้ำผุด Tambon Kantang, Amphoe Kantang, Chang Wat Trang 92110, Thailand']","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']",51.4 km,51 mins
11,กันตัง,"('กันตัง', 'ตรัง')",สิเกา,"('สิเกา', 'ตรัง')","['CG48+327 ถนนตรัง น้ำผุด Tambon Kantang, Amphoe Kantang, Chang Wat Trang 92110, Thailand']","['ถนน Tambon Bo Hin, Amphoe Sikao, Chang Wat Trang 92150, Thailand']",40.1 km,42 mins
12,กันตัง,"('กันตัง', 'ตรัง')",วังวิเศษ,"('วังวิเศษ', 'ตรัง')","['CG48+327 ถนนตรัง น้ำผุด Tambon Kantang, Amphoe Kantang, Chang Wat Trang 92110, Thailand']","['Phet Kasem Road , Wang Maprang Nuea , 92220 Khao Wiset , Trang, ตำบล วังมะปรางเหนือ อำเภอ วังวิเศษ ตรัง 92220, Thailand']",57.1 km,59 mins
13,กันตัง,"('กันตัง', 'ตรัง')",หาดสำราญ,"('หาดสำราญ', 'ตรัง')","['CG48+327 ถนนตรัง น้ำผุด Tambon Kantang, Amphoe Kantang, Chang Wat Trang 92110, Thailand']","['6HRG+2P8, Hat Samran, Hat Samran District, Trang 92120, Thailand']",50.6 km,53 mins
14,ย่านตาขาว,"('ย่านตาขาว', 'ตรัง')",เมืองตรัง,"('เมืองตรัง', 'ตรัง')","['อาคารที่ว่าการอำเภอย่านตาขาว, ถนนตรัง-ปะเหลียน, ตำบลย่านตาขาว อำเภอย่านตาขาว จังหวัดตรัง, 92140 Tambon Yan Ta Khao, Amphoe Yan Ta Khao, Chang Wat Trang 92140, Thailand']","['101 Visadekul Alley, Tambon Thap Thiang, Amphoe Mueang Trang, Chang Wat Trang 92000, Thailand']",21.9 km,26 mins
15,ย่านตาขาว,"('ย่านตาขาว', 'ตรัง')",กันตัง,"('กันตัง', 'ตรัง')","['อาคารที่ว่าการอำเภอย่านตาขาว, ถนนตรัง-ปะเหลียน, ตำบลย่านตาขาว อำเภอย่านตาขาว จังหวัดตรัง, 92140 Tambon Yan Ta Khao, Amphoe Yan Ta Khao, Chang Wat Trang 92140, Thailand']","['CG48+327 ถนนตรัง น้ำผุด Tambon Kantang, Amphoe Kantang, Chang Wat Trang 92110, Thailand']",26.6 km,28 mins
16,ย่านตาขาว,"('ย่านตาขาว', 'ตรัง')",ปะเหลียน,"('ปะเหลียน', 'ตรัง')","['อาคารที่ว่าการอำเภอย่านตาขาว, ถนนตรัง-ปะเหลียน, ตำบลย่านตาขาว อำเภอย่านตาขาว จังหวัดตรัง, 92140 Tambon Yan Ta Khao, Amphoe Yan Ta Khao, Chang Wat Trang 92140, Thailand']","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']",25.0 km,25 mins
17,ย่านตาขาว,"('ย่านตาขาว', 'ตรัง')",นาโยง,"('นาโยง', 'ตรัง')","['อาคารที่ว่าการอำเภอย่านตาขาว, ถนนตรัง-ปะเหลียน, ตำบลย่านตาขาว อำเภอย่านตาขาว จังหวัดตรัง, 92140 Tambon Yan Ta Khao, Amphoe Yan Ta Khao, Chang Wat Trang 92140, Thailand']","['238, Trang-Phatthalung Rd., Na Yong Nua Na Yong Trang, 92170, ตำบล นาโยงเหนือ อำเภอ นาโยง ตรัง 92170, Thailand']",29.3 km,31 mins
18,ย่านตาขาว,"('ย่านตาขาว', 'ตรัง')",หาดสำราญ,"('หาดสำราญ', 'ตรัง')","['อาคารที่ว่าการอำเภอย่านตาขาว, ถนนตรัง-ปะเหลียน, ตำบลย่านตาขาว อำเภอย่านตาขาว จังหวัดตรัง, 92140 Tambon Yan Ta Khao, Amphoe Yan Ta Khao, Chang Wat Trang 92140, Thailand']","['6HRG+2P8, Hat Samran, Hat Samran District, Trang 92120, Thailand']",24.3 km,27 mins
19,ย่านตาขาว,"('ย่านตาขาว', 'ตรัง')",กงหรา,"('กงหรา', 'พัทลุง')","['อาคารที่ว่าการอำเภอย่านตาขาว, ถนนตรัง-ปะเหลียน, ตำบลย่านตาขาว อำเภอย่านตาขาว จังหวัดตรัง, 92140 Tambon Yan Ta Khao, Amphoe Yan Ta Khao, Chang Wat Trang 92140, Thailand']","['ที่ว่าการอำเภอกงหรา, Tambon Khlong Sai Khao, Amphoe Kong Ra, Chang Wat Phatthalung 93180, Thailand']",74.3 km,1 hour 15 mins
20,ย่านตาขาว,"('ย่านตาขาว', 'ตรัง')",ศรีนครินทร์,"('ศรีนครินทร์', 'พัทลุง')","['อาคารที่ว่าการอำเภอย่านตาขาว, ถนนตรัง-ปะเหลียน, ตำบลย่านตาขาว อำเภอย่านตาขาว จังหวัดตรัง, 92140 Tambon Yan Ta Khao, Amphoe Yan Ta Khao, Chang Wat Trang 92140, Thailand']","['HW9V+X84, Chumphon, Srinagarindra District, Phatthalung 93000, Thailand']",54.5 km,54 mins
21,ปะเหลียน,"('ปะเหลียน', 'ตรัง')",ทุ่งหว้า,"('ทุ่งหว้า', 'สตูล')","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']","['3QR9+344, Thung Wa, Thung Wa District, Satun 91120, Thailand']",32.3 km,31 mins
22,ปะเหลียน,"('ปะเหลียน', 'ตรัง')",กันตัง,"('กันตัง', 'ตรัง')","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']","['CG48+327 ถนนตรัง น้ำผุด Tambon Kantang, Amphoe Kantang, Chang Wat Trang 92110, Thailand']",51.3 km,51 mins
23,ปะเหลียน,"('ปะเหลียน', 'ตรัง')",ย่านตาขาว,"('ย่านตาขาว', 'ตรัง')","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']","['อาคารที่ว่าการอำเภอย่านตาขาว, ถนนตรัง-ปะเหลียน, ตำบลย่านตาขาว อำเภอย่านตาขาว จังหวัดตรัง, 92140 Tambon Yan Ta Khao, Amphoe Yan Ta Khao, Chang Wat Trang 92140, Thailand']",24.8 km,25 mins
24,ปะเหลียน,"('ปะเหลียน', 'ตรัง')",ตะโหมด,"('ตะโหมด', 'พัทลุง')","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']","['84Q6+RF3, Mae Khari, Tamot District, Phatthalung 93160, Thailand']",125 km,1 hour 53 mins
25,ปะเหลียน,"('ปะเหลียน', 'ตรัง')",หาดสำราญ,"('หาดสำราญ', 'ตรัง')","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']","['6HRG+2P8, Hat Samran, Hat Samran District, Trang 92120, Thailand']",31.7 km,31 mins
26,ปะเหลียน,"('ปะเหลียน', 'ตรัง')",กงหรา,"('กงหรา', 'พัทลุง')","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']","['ที่ว่าการอำเภอกงหรา, Tambon Khlong Sai Khao, Amphoe Kong Ra, Chang Wat Phatthalung 93180, Thailand']",95.9 km,1 hour 33 mins
27,ปะเหลียน,"('ปะเหลียน', 'ตรัง')",ป่าบอน,"('ป่าบอน', 'พัทลุง')","['อาคาร ที่ว่าการ อำเภอ ปะเหลียน, 5MCP+VCV อำเภอ ปะเหลียน ตรัง 92120, Thailand']","['76 หมู่ 6 Phet Kasem Rd, Tambon Wang Mai, Amphoe Pa Bon, Chang Wat Phatthalung 93170, Thailand']",135 km,2 hours 3 mins
28,สิเกา,"('สิเกา', 'ตรัง')",คลองท่อม,"('คลองท่อม', 'กระบี่')","['ถนน Tambon Bo Hin, Amphoe Sikao, Chang Wat Trang 92150, Thailand']","['3, Tambon Khlong Thom Tai, Amphoe Khlong Thom, Krabi, 81120, ตำบล คลองท่อมใต้ อำเภอคลองท่อม กระบี่ 81120, Thailand']",58.8 km,50 mins
